,ID_REF,GSM4030288,GSM4030289,GSM4030290,GSM4030291,GSM4030292,GSM4030293,GSM4030294
0,17200001,6.88472,7.08425,6.49632,6.75365,6.46293,6.8223899999999995,7.37288
1,17200003,7.24788,6.71678,7.16061,7.0960600000000005,6.933339999999999,7.186730000000001,7.26507
2,17200005,5.91871,5.794,5.14119,5.5975,5.05947,5.725,6.30692
3,17200007,5.19431,5.14446,4.12856,5.11851,5.76433,5.3912,5.5490900000000005
4,17200009,6.33622,6.44294,6.26112,6.46106,6.4607,6.40679,6.35255
5,17200011,4.61101,4.81646,4.64642,5.26816,4.68299,5.66563,5.44681
6,17200013,5.76905,5.37395,5.42815,5.35898,5.06531,5.92805,6.14639
7,17200015,5.63737,5.6708300000000005,5.75305,5.876530000000001,6.03426,6.07375,6.2195800000000006
8,17200017,3.9386900000000002,3.5529699999999997,1.64714,2.83563,2.9655,2.78798,3.9340300000000004
9,17200019,4.38762,2.83489,4.426740000000001,4.247669999999999,4.1554,4.2123099999999996,4.5974900000000005
10,17200021,5.05,4.8459900000000005,3.755,4.19263,4.24415,5.45435,4.82704
11,17200023,6.6846,6.56228,6.7504,6.84743,6.880489999999999,6.71364,6.938860000000001
12,17200025,4.66616,5.57546,5.48129,4.92654,5.61726,5.1476,5.36244
13,17200027,6.35407,6.30245,5.987080000000001,6.772869999999999,6.83513,6.06784,5.93803
14,17200029,4.47843,4.73489,4.89879,4.93556,5.01578,5.36382,5.26321
15,17200031,3.59405,3.61841,3.7941800000000003,3.95295,4.34302,3.96045,3.49318
16,17200033,3.17809,3.27393,3.6936,3.4562800000000005,4.02233,3.43804,3.4980900000000004
17,17200035,3.34962,3.6576199999999996,3.1755299999999997,3.19485,3.7263300000000004,2.88685,4.17914
18,17200037,4.151009999999999,5.47536,5.51096,5.34464,5.5329,5.81808,5.45937
19,17200039,3.79526,3.58155,4.57731,4.4520800000000005,3.89961,3.50431,4.58817
20,17200041,5.46269,4.62092,4.46251,4.00571,5.17163,3.4523599999999997,4.18575
21,17200043,3.7311300000000003,4.264869999999999,4.43854,4.86867,3.7660199999999997,4.28884,4.22039
22,17200045,5.73417,4.76883,5.03061,3.8112800000000004,5.00122,5.21177,5.01788
23,17200047,1.39236,3.4722199999999996,2.5222700000000002,3.8828,2.53947,2.26373,2.0077700000000003
24,17200049,5.28556,6.21467,5.54399,5.56349,5.90454,5.87625,5.96052
25,17200051,5.9564699999999995,5.04795,5.41819,4.67888,5.8044,5.65953,5.57895
26,17200053,4.5426,4.93515,5.503019999999999,4.96866,5.1935199999999995,5.003909999999999,5.81605
27,17200055,4.8753400000000005,5.26964,5.45695,4.02325,3.7234,4.6083099999999995,4.907369999999999
28,17200057,5.98744,6.93893,6.44686,6.3407,6.32659,6.63508,6.58173
29,17200059,5.7915,5.5666199999999995,6.05795,5.02631,4.05189,5.71646,5.71278
30,17200061,3.7905,3.14643,4.1666300000000005,4.65522,3.4209400000000003,3.0066,3.0439999999999996
31,17200063,5.71586,5.48157,6.24563,4.77145,5.35354,6.05465,5.53794
32,17200065,1.98163,2.23438,2.54392,1.35218,2.57903,1.4831,2.51816
33,17200067,6.40604,6.70759,6.65275,6.07176,6.496090000000001,6.92328,6.315580000000001
34,17200069,5.59795,5.557580000000001,5.05044,4.67668,5.63959,5.52896,5.83545
35,17200071,4.99906,5.441269999999999,5.3111,5.05938,4.63132,5.0924,5.5511099999999995
36,17200073,5.05274,6.122240000000001,6.14149,6.0353,5.93658,5.82425,5.8257699999999994
37,17200075,5.35241,4.79376,6.26542,3.2619599999999997,5.6798,5.3578,5.72081
38,17200077,7.67691,7.7199100000000005,7.904610000000001,8.2905,7.7087,7.7850600000000005,7.429810000000001
39,17200079,6.25411,6.01195,6.75218,6.0414900000000005,6.32406,6.00751,6.52186
40,17200081,5.96136,6.36681,6.21256,6.061640000000001,5.71875,5.8278,5.66495
41,17200083,4.92786,4.89679,4.90557,4.27844,4.76525,4.54165,4.498469999999999
42,17200085,3.93968,3.08039,4.78939,3.5043,3.8268800000000005,4.17402,4.95041
43,17200087,4.61921,4.19797,5.01845,4.150519999999999,6.05576,4.75887,4.71641
