Gene_ID	binary
7035	1
4837	1
54795	1
7035	1
221336	1
1848	1
11012	1
1043	1
10809	1
3109	1
26223	1
9452	1
9353	1
7033	1
79870	1
6876	1
25840	1
3170	1
25780	1
10083	1
7045	1
10555	1
4254	1
999	1
57633	1
119467	1
401138	1
3852	1
3934	1
5652	1
5327	1
79962	1
51141	1
11010	1
401546	1
5639	1
2919	1
6582	1
388228	1
1004	1
54102	1
56670	1
8821	1
1026	1
4502	1
3306	1
6337	1
2939	1
3669	1
857	1
3576	0
4316	0
56923	0
1113	0
1366	0
3955	0
3426	0
9941	0
3221	0
4501	0
284422	0
6582	0
5959	0
26085	0
165679	0
6678	0
127262	0
57045	0
5165	0
79413	0
9914	0
5352	0
2302	0
9289	0
10686	0
285489	0
5580	0
115701	0
91862	0
1832	0
1212	0
4060	0
8549	0
56999	0
6098	0
5909	0
90102	0
2065	0
94025	0
80736	0
5352	0
1833	0
254773	0
954	0
2192	0
306	0
6376	0
1831	0
4254	0
55876	0
3576	0
9053	0
201799	0
353376	0
153769	0
4489	0
4240	0
6583	0
166824	0
57552	0
4316	0
56164	0
55034	0
8848	0
286676	0
55244	0
84709	0
54845	0
91607	0
7035	0
90102	0
6307	0
2192	0
5920	0
80777	0
7104	0
54843	0
2705	0
9368	0
182	0
11218	0
1303	0
29785	0
4739	0
2938	0
10555	0
83716	0
154091	0
857	0
10002	0
8908	0
389812	0
3249	0
79772	0
2192	0
84319	0
1368	0
29062	0
4325	0
3725	0
4481	0
283078	0
1365	0
200810	0
2524	0
1015	0
1803	0
9235	0
124975	0
7903	0
5311	0
25879	0
84152	0
105370578	0
94120	0
224	0
166012	0
7768	0
7220	0
196527	0
39	0
54443	0
290	0
51438	0
27293	0
55808	0
4189	0
144501	0
7802	0
2308	0
253827	0
2744	0
9388	0
57419	0
56623	0
5352	0
3638	0
3728	0
192666	0
50507	0
152007	0
1969	0
1376	0
1909	0
56937	0
667	0
7052	0
6696	0
3040	0
2099	0
54901	0
10410	0
10753	0
4494	0
54796	0
7851	0
7739	0
3108	0
23416	0
23017	0
3960	0
80736	0
79651	0
8612	0
3728	0
7366	0
6696	0
56929	0
547	0
128218	0
120	0
89846	0
3976	0
339479	0
20	0
5965	0
91860	0
9260	0
5328	0
644100	0
10892	0
3778	0
2673	0
6713	0
3084	0
3291	0
7803	0
9577	0
7367	0
3280	0
147798	0
27115	0
10319	0
8630	0
154214	0
8544	0
7574	0
196410	0
858	0
4922	0
64663	0
4016	0
25816	0
4060	0
2861	0
10581	0
10149	0
55315	0
51085	0
155465	0
2939	0
6617	0
7367	0
27237	0
30812	0
493869	0
84991	0
7372	0
92196	0
323	0
54854	0
338440	0
84233	0
6414	0
6840	0
5266	0
10100	0
79949	0
51199	0
25932	0
152573	0
130271	0
57799	0
745	0
3398	0
84622	0
23588	0
4303	0
56670	0
9590	0
64798	0
9553	0
6850	0
84873	0
55346	0
54961	0
253827	0
200734	0
65108	0
222235	0
9333	0
1842	0
11076	0
113246	0
861	0
64332	0
56204	0
80115	0
347735	0
7052	0
10825	0
79170	0
2152	0
3918	0
1903	0
5947	0
9180	0
64073	0
85027	0
4045	0
158471	0
6236	0
114883	0
119	0
2886	0
388730	0
12	0
27075	0
5606	0
56937	0
81606	0
11162	0
388564	0
55646	0
5168	0
54947	0
101928516	0
92691	0
255189	0
55201	0
1491	0
858	0
55914	0
6242	0
90293	0
84952	0
84188	0
7571	0
3488	0
56265	0
8091	0
7852	0
6646	0
4681	0
84830	0
5569	0
627	0
56667	0
9235	0
205564	0
1534	0
11162	0
79844	0
821	0
11167	0
79968	0
3855	0
330	0
51514	0
2810	0
92344	0
7103	0
10124	0
728695	0
4352	0
8602	0
51621	0
9338	0
51550	0
6815	0
1308	0
9725	0
444	0
7351	0
84450	0
6296	0
-	0
1917	0
6189	0
5744	0
56997	0
8558	0
162681	0
151258	0
10317	0
7431	0
6296	0
2217	0
64116	0
23022	0
56848	0
83468	0
57402	0
5879	0
114879	0
1806	0
444	0
91107	0
3306	0
5165	0
5358	0
8076	0
214	0
155054	0
5552	0
2859	0
84532	0
5507	0
6616	0
55214	0
389289	0
54438	0
51661	0
5358	0
79001	0
947	0
29881	0
11141	0
84319	0
6480	0
57561	0
1346	0
84709	0
10752	0
139170	0
5569	0
10149	0
51523	0
145781	0
3728	0
2261	0
201501	0
10381	0
112950	0
116832	0
644100	0
231	0
59335	0
7364	0
8811	0
8434	0
4225	0
54897	0
1001	0
359948	0
6525	0
667	0
5911	0
83593	0
245973	0
11162	0
-	0
124935	0
91975	0
28962	0
7366	0
1491	0
26575	0
26471	0
729966	0
60481	0
3636	0
6876	0
134957	0
3918	0
131566	0
5740	0
2152	0
22891	0
5210	0
771	0
9577	0
25822	0
10948	0
23231	0
90933	0
22854	0
64094	0
401551	0
7053	0
255743	0
56164	0
3685	0
2762	0
284018	0
1287	0
3977	0
-	0
9766	0
59307	0
27086	0
80114	0
10273	0
2037	0
2015	0
7903	0
23545	0
5305	0
55859	0
10637	0
9537	0
771	0
-	0
3091	0
10753	0
256236	0
8492	0
94233	0
256764	0
-	0
946	0
10555	0
55256	0
147694	0
643161	0
9187	0
8519	0
5704	0
2247	0
9289	0
219968	0
445	0
8379	0
65981	0
6194	0
80789	0
1052	0
7903	0
10551	0
5033	0
89797	0
27243	0
57142	0
79744	0
24145	0
6252	0
10743	0
2627	0
6236	0
57088	0
22978	0
131566	0
3939	0
81615	0
89822	0
8303	0
9651	0
23180	0
152189	0
4070	0
2132	0
55646	0
218	0
2920	0
6505	0
9580	0
91860	0
29934	0
1789	0
3091	0
6988	0
5886	0
26022	0
5836	0
3488	0
3688	0
283209	0
64167	0
10990	0
4013	0
221079	0
587	0
166614	0
112770	0
55697	0
79647	0
387332	0
9388	0
23576	0
54869	0
127550	0
8900	0
5937	0
29893	0
10974	0
8848	0
55890	0
51501	0
29968	0
3099	0
115908	0
4594	0
399693	0
9615	0
79660	0
80139	0
4148	0
11077	0
662	0
112849	0
23469	0
137682	0
9076	0
1295	0
27111	0
22838	0
340706	0
50617	0
84984	0
387921	0
23584	0
10082	0
27122	0
4638	0
3569	0
672	0
4750	0
-	0
55859	0
115908	0
80726	0
79007	0
54843	0
64601	0
284086	0
80727	0
2070	0
7167	0
64423	0
3918	0
54809	0
