Gene.symbol,binary
SPANXB1,0
MPL,0
FAM83H,0
NOP14,0
KLF13,0
TCEAL1,0
RBMS2,0
MSMO1,0
CINP,0
STYX,0
COL17A1,0
TMEM63A,0
ASPH,0
UCP2,0
ZNF512,0
ACSM3,0
NUCKS1,0
C19orf43,0
EEF1A2,0
RPS3A,0
PTHLH,0
COQ8A,0
CDK10,0
COL17A1,0
C18orf54,0
SLC38A11,0
B3GALT5,0
VIM,0
ACSM3,0
FCGRT,0
SLC39A8,0
PALLD,0
SCML1,0
SPHK2,0
GLT8D2,0
S100A14,0
RAC1,0
OSBPL5,0
DPYD,0
ASPH,0
LRCH2,0
TRIM47,0
HSPA2,0
PDK3,0
PLS3,0
MFAP5,0
ALCAM,0
ZNF425,0
SRGN,0
GPR35,0
ACSS1,0
PPP1R3C,0
SNAP25,0
P3H2,0
ANXA2R,0
GFOD1,0
FKBP7,0
PLS3,0
VKORC1,0
CD34,0
NPC1L1,0
RIMKLB,0
IL1RAPL1,0
CMSS1,0
ST6GAL1,0
ARRDC3,0
COX7A1,0
MGARP,0
CHL1,0
DCAF12L1,0
PKIA,0
ADGRG2,0
PHF11,0
CXXC5,0
GCOM1,0
JUP,0
FGFR3,0
ZBTB7C,0
TUBB3,0
MED8,0
RPL39L,0
HOXC6,0
ARL14EPL,0
AKR1B1,0
PRDM12,0
UGT2B7,0
GALR2,0
RECK,0
HNRNPA1P33,0
ZIK1,0
MEP1B,0
CASZ1,0
CDH3,0
IRF2BP2,0
SMTN,0
DST,0
RAP2A,0
RASSF5,0
ATP6V1C2,0
NUDT6,0
GM140,0
SLC43A2,0
ZNF300,0
OSTM1,0
UGT2B15,0
CTH,0
RGS17,0
NUPR1,0
LOC729966,0
ELOVL5,0
DIAPH3,0
INPPL1,0
TAGLN,0
STXBP5,0
LAMC2,0
DCBLD2,0
PTGIS,0
F3,0
ZNF365,0
PFKFB4,0
CA12,0
BRE,0
DNAJB5,0
STARD3,0
C7orf57,0
SEL1L3,0
TRIM41,0
NTNG1,0
SMOC2,0
WDR38,0
TGM3,0
SEPHS2,0
NPNT,0
STK31,0
ITGAV,0
GMDS,0
C17orf58,0
COL4A5,0
TMEM131,0
LIFR,0
PRKCDBP,0
SUSD6,0
SIGIRR,0
FOXP1,0
BICC1,0
STUB1,0
EPB41L2,0
ADGRE1,0
ST8SIA4,0
ATP6V0A2,0
PIP4K2A,0
BEX1,0
LEFTY1,0
TP53I11,0
CA12,0
TMEM56,0
HIF1A,0
CAPN9,0
NAPSB,0
PRSS12,0
OPN4,0
WDR72,0
MAGEA8,0
C7orf49,0
SIGLEC6,0
AGPAT2,0
ADI1,0
DBT,0
ZNF548,0
FAM25A,0
SLC24A1,0
IFITM1,0
PSMC4,0
FGF2,0
ADGRG1,0
ARRB1,0
OR5B21,0
ASS1,0
MAD1L1,0
CAPRIN2,0
RPS6,0
INTS5,0
CEBPD,0
ST8SIA4,0
AGR2,0
P4HA1,0
NAV2,0
CHMP2A,0
RTN4,0
ZNF419,0
PANX1,0
RTN1,0
RAI1,0
GATA6,0
SYTL2,0
RRAD,0
PLSCR4,0
NT5C2,0
DCBLD2,0
LDHA,0
TMEM163,0
KCNK17,0
SNN,0
PLCH2,0
RFTN1,0
CMTM8,0
TACSTD2,0
EXT2,0
LYAR,0
ALDH3A1,0
CXCL2,0
SLC1A1,0
SOX13,0
CALML4,0
SNX12,0
DNMT3B,0
HIF1A,0
TCTA,0
RAD23A,0
TMEM98,0
PYGL,0
IGFBP5,0
PDLIM5,0
ITGB1,0
PGM2L1,0
ERAP2,0
LILRB5,0
VWA5A,0
ARL5B,0
BCAT2,0
DCLK2,0
GLMP,0
VAC14,0
FGFBP1,0
AKIRIN1,0
TBPL2,0
LIPG,0
DDAH1,0
EPS8L1,0
A3GALT2,0
CCNA1,0
RBMS1,0
PSMC3IP,0
ADIRF,0
DIXDC1,0
TSC22D1,0
CALU,0
GPRC5C,0
HIKESHI,0
PSAT1,0
HK2,0
CTHRC1,0
MUT,0
CCDC187,0
GDA,0
PPP1R3B,0
ZNF703,0
MATN3,0
HSF2BP,0
BNIP1,0
L3HYPDH,0
PHF3,0
NDUFAF6,0
ABCG2,0
CLDN1,0
COL8A1,0
SDCBP2,0
RNF44,0
VWA2,0
ATP6V0A4,0
WDR13,0
CEP19,0
FCGR2B,0
NHLRC3,0
VSIG2,0
GPC6,0
DKK3,0
MYLK,0
IL6,0
BRCA1,0
NEK1,0
LOC400743,0
BEX1,0
CTHRC1,0
KIAA1683,0
DBNDD1,0
SYTL2,0
VPS16,0
NEK8,0
TTYH3,0
EYA4,0
TPI1,0
INF2,0
LAMC2,0
SAMD9,0
VCAN,0
JADE3,0
SERPINB8,0
IL6R,0
PLCL2,0
TFF2,0
KIAA1211L,0
FAM110A,0
ELF2,0
MCFD2,0
HPS6,0
RIT1,0
HAL,0
RAD21,0
TRIM36,0
AEN,0
PIK3IP1,0
IKBIP,0
TRIB2,0
SPTSSA,0
ZNF750,0
NEDD9,0
PKP2,0
BANP,0
DNM3,0
TMEM51,0
IL17RB,0
USP37,0
ZNF681,0
SUGCT,0
COX5A,0
PPFIBP2,0
OLFM1,0
ECI1,0
SMAP2,0
SYNRG,0
PLEKHH3,0
C1S,0
ARL3,0
MTBP,0
COMMD7,0
BBOF1,0
PTBP3,0
DHX9,0
ENPP2,0
IFT122,0
INF2,0
BAMBI,0
LRRK2,0
LOC100506289,0
SLC16A10,0
GTF2E1,0
PI4KAP1,0
LOC100506127,0
SH3GL3,0
ZCCHC12,0
LAMC1,0
RXRG,0
ACADS,0
KHDRBS3,0
SLC30A2,0
PTHLH,0
VRK3,0
TRAF5,0
C1orf54,0
CCDC127,0
GJB6,0
RTKN,0
CD70,0
GK,0
FAM126B,0
NTNG1,0
PDZK1IP1,0
RER1,0
HERC6,0
PARP9,0
PDCL,0
TTTY19,0
KATNAL1,0
SHB,0
GSG1L,0
HOXA5,0
PNPO,0
ATAD1,0
CHODL,0
HGD,0
POLR2G,0
NKAIN4,0
SLC40A1,0
BTNL9,0
TTTY11,0
COQ6,0
IDO1,0
SLC47A2,0
NPR3,0
STK38,0
FBLN5,0
ABR,0
LAMA3,0
CTH,0
CLIP1,0
ATP9A,0
TIFA,0
PPP1R13B,0
PCDHA3,0
ALDH4A1,0
FHL2,0
DNAJA3,0
WDPCP,0
NSUN5P2,0
GADD45A,0
COASY,0
SPTBN2,0
GPAM,0
TMEM213,0
DHX9,0
FERMT2,0
C19orf18,0
CANX,0
ADGRE5,0
ERVV-1,0
TRIM10,0
ABHD12B,0
PRR3,0
SCD5,0
FDFT1,0
RUNDC3B,0
ATP6AP1,0
CD40,0
HERC3,0
KDELR3,0
TTC9B,0
NDRG4,0
TBC1D2,0
KRT17,0
RNF217,0
BHLHE41,0
KRR1,0
TMEM120A,0
C10orf54,0
TPGS2,0
REPS2,0
TCF19,0
CD200,0
PNPLA2,0
GFPT1,0
CGN,0
POGLUT1,0
ZNF598,0
RAB11FIP4,0
NEDD9,0
AES,0
UBAP2,0
VAMP3,0
CCT3,0
BCL7C,0
PDS5B,0
KCNAB3,0
HIVEP3,0
SLC3A1,0
TRIM15,0
NFKBIE,0
UBL5,0
GPATCH4,0
PIGY,0
BAIAP3,0
HPS5,0
RNLS,0
SYNJ1,0
SLC12A8,0
LIPC,0
DPYSL3,0
FLRT3,0
LRP8,0
VTA1,0
WWC3,0
ENTPD6,0
SPAG8,0
LBX1,0
CDA,0
C4orf19,0
NR2F1,0
PPL,0
BTG1,0
COG7,0
VMP1,0
APOBEC3B,0
GLRX,0
SPON1,0
SMAD2,0
FLJ41455,0
BCOR,0
BCL6,0
UBALD1,0
WNK2,0
MC1R,0
MDK,0
CAMK2B,0
ZMYM6,0
PPP4R4,0
ATAT1,0
ARAP3,0
RBMS1,0
APOL3,0
DRAM1,0
AXL,0
CELA3A,0
AK4,0
RASEF,0
IQCB1,0
AXDND1,0
LRIG1,0
C1R,0
SLC27A2,0
PARVG,0
RBM38,0
UBR1,0
CFAP44,0
MRS2,0
SLC35F3,0
USF2,0
VIL1,0
SDCBP2,0
ZNF473,0
TPMT,0
PDLIM5,0
IKBIP,0
THBS1,0
CLIC4,0
ICAM2,0
GATS,0
GOLM1,0
PPP1R1B,0
TM6SF2,0
POC1B,0
SEPT10,0
FREM1,0
PGAM1,0
NCF2,0
ACTR8,0
DDIT4L,0
TMPRSS4,0
ARL4A,0
FBXO32,0
AHI1,0
COMMD8,0
LGALS1,0
ABLIM1,0
ZP1,0
ARHGAP8,0
DDX39B,0
NPLOC4,0
PDPK1,0
BANP,0
AP3S1,0
MAGEE2,0
HJURP,0
BBS2,0
MAPKAP1,0
EPCAM,0
UBOX5,0
MID1,0
PDGFC,0
OR52I2,0
RASSF1,0
AGR3,0
WDR35,0
PKN1,0
ERP27,0
NOMO1,0
UBALD2,0
ZNF260,0
CCDC18,0
HPN,0
ESPN,0
LRMP,0
IGFBP6,0
MTAP,0
MZF1,0
SLC43A3,0
ZWINT,0
DYNLRB1,0
DLL3,0
DAGLA,0
RNF183,0
MGST2,0
UPF3B,0
FOXS1,0
ZNF114,0
SLFN11,0
SERP1,0
NOSIP,0
SLC4A1AP,0
RXRA,0
SPINT1,0
ELOVL6,0
ENO2,0
MCU,0
GTPBP6,0
PRRX2,0
CEP152,0
ABHD12,0
ZMAT5,0
ZNF70,0
GABRR3,0
AP1B1,0
ASS1,0
EIF5A2,0
GOLT1A,0
UPF1,0
GOLGA7,0
TMCO4,0
SEMA3C,0
ALAD,0
TOP1P2,0
PCOLCE,0
AP1S2,0
UBQLNL,0
TMEM191B,0
CXADR,0
SLC39A8,0
DIDO1,0
HPSE,0
XDH,0
OGDHL,0
LRP8,0
EPG5,0
TOLLIP,0
MANBA,0
RPA4,0
GOLIM4,0
NIPA2,0
CD6,0
TVP23C,0
MRPS26,0
ADGRV1,0
NINJ2,0
STARD13,0
KLF9,0
SLC35B4,0
SLC5A12,0
UBXN6,0
TESC,0
TFCP2L1,0
FXR1,0
NPDC1,0
GJB2,0
RBMS1,0
UBN1,0
XPNPEP2,0
BRD2,0
FZD7,0
HAMP,0
ALDH7A1,0
NAA50,0
SUCLA2,0
FYN,0
ISL1,0
CCNB1IP1,0
RPIA,0
NR0B2,0
SLC13A5,0
EXOC2,0
C10orf90,0
FRMD6,0
COG5,0
ZFP82,0
CDCA4,0
PMPCA,0
ADAP1,0
RFX3,0
CNIH3,0
ANGEL2,0
ALDOC,0
UPF3B,0
SLC9A1,0
C1orf106,0
SYTL1,0
MYB,0
ZNF385B,0
USP10,0
CASC1,0
CSRP1,0
RNF219,0
GRB14,0
CHMP1B,0
FXYD3,0
IFI16,0
ZBED1,0
MRPS12,0
ATP1A2,0
AGPS,0
AXL,0
ART3,0
GPM6A,0
TNFRSF21,0
PRKAB1,0
MED13L,0
SLC7A4,0
CECR1,0
EDEM2,0
E2F5,0
DGKH,0
PLPP2,0
SMARCB1,0
NOC3L,0
ARRDC4,0
KCNH6,0
ZNF446,0
MGLL,0
ZNF471,0
SLC22A4,0
ISPD,0
UBE4B,0
GALNT4,0
MBTPS2,0
DCPS,0
IGFBP3,0
MTX1,0
ANO4,0
DNAH5,0
GSTA1,0
PDE1A,0
ECHS1,0
AFAP1L2,0
FXYD2,0
LGI4,0
PLK2,0
MYL6,0
EFHD2,0
GSR,0
KHDRBS3,0
ALG8,0
NR2F2,0
GFRA4,0
SLC28A2,0
RPS15,0
NRG1,0
CRB3,0
FGF2,0
SCHIP1,0
BAG3,0
FAM155A,0
RHOB,0
PPP1R15A,0
MXD4,0
VSIG8,0
SSR1,0
SMAD6,0
BCAP29,0
ABCG1,0
AQP12A,0
PPP1R8,0
OR4D1,0
TOMM40L,0
SPINK1,0
ZCRB1,0
RFX1,0
PLP1,0
KERA,0
STAT6,0
SLC44A2,0
CCDC94,0
GPX2,0
MSRB1,0
NUP160,0
NTN4,0
ARRB1,0
COL5A1,0
SERPINB1,0
SLC35A2,0
NR3C1,0
ZBTB21,0
GSE1,0
NUP205,0
PRR4,0
MAGED2,0
STRADB,0
CCDC50,0
C18orf54,0
GFRA3,0
BNIP2,0
FEZ2,0
ITGB1,0
AIM2,0
DENND2A,0
PIK3R1,0
MFSD6,0
MANSC1,0
VAT1,0
GPR65,0
MYH14,0
PDE4D,0
PACRGL,0
IGFBP3,0
NCAPH2,0
SYCP1,0
SH2B1,0
SNU13,0
LY96,0
COPE,0
SDHAP1,0
ALG8,0
HNRNPU,0
FBXO7,0
PIM3,0
SAMD7,0
PRKG2,0
NPTN,0
TMEM184A,0
PHLDA1,0
