"active.cases.percentage","expression.mappings","expression_data_geneId_binary.txt - % active/dysregulated","expression_data_geneId_binary.txt - Total active/dysregulated","HGNC","in.negative.list","in.positive.list","is.exception","is.mapped.to.datasets","name","node.hits","node.hits.normalized","node.total.hits","node.total.hits.normalized","selected","shared name"
"0.0","0","0.0","0","CD93","false","false","true","no","22918","0","0.0","0","0.0","false","22918"
"0.0","0","0.0","0","DOK1","false","false","true","no","1796","0","0.0","0","0.0","false","1796"
"0.0","1","0.0","0","RET","false","false","true","yes","5979","0","0.0","0","0.0","false","5979"
"0.0","1","0.0","0","IQCB1","false","false","true","yes","9657","0","0.0","0","0.0","false","9657"
"0.0","0","0.0","0","NRIP1","false","false","true","no","8204","0","0.0","0","0.0","false","8204"
"0.0","1","0.0","0","NR1H3","false","false","true","yes","10062","0","0.0","0","0.0","false","10062"
"0.0","0","0.0","0","POU2AF1","false","false","true","no","5450","0","0.0","0","0.0","false","5450"
"0.0","1","0.0","0","SLC22A2","false","false","true","yes","6582","0","0.0","0","0.0","false","6582"
"0.0","0","0.0","0","ARHGAP32","false","false","true","no","9743","0","0.0","0","0.0","false","9743"
"0.0","0","0.0","0","BTK","false","false","true","no","695","0","0.0","0","0.0","false","695"
"0.0","1","0.0","0","BLNK","false","false","true","yes","29760","0","0.0","0","0.0","false","29760"
"0.0","1","0.0","0","CCNT1","false","false","true","yes","904","0","0.0","0","0.0","false","904"
"0.0","0","0.0","0","CCNK","false","false","true","no","8812","0","0.0","0","0.0","false","8812"
"0.0","0","0.0","0","TAC4","false","false","true","no","255061","0","0.0","0","0.0","false","255061"
"0.0","0","0.0","0","TACR3","false","false","true","no","6870","0","0.0","0","0.0","false","6870"
"0.0","0","0.0","0","MTG1","false","false","true","no","92170","0","0.0","0","0.0","false","92170"
"0.0","1","0.0","0","MX1","false","false","true","yes","4599","0","0.0","0","0.0","false","4599"
"0.0","0","0.0","0","CRKL","false","false","true","no","1399","0","0.0","0","0.0","false","1399"
"0.0","1","0.0","0","EVL","false","false","true","yes","51466","0","0.0","0","0.0","false","51466"
"0.0","1","0.0","0","RBM14","false","false","true","yes","10432","0","0.0","0","0.0","false","10432"
"0.0","1","0.0","0","RBL1","false","false","true","yes","5933","0","0.0","0","0.0","false","5933"
"0.0","0","0.0","0","RBBP9","false","false","true","no","10741","0","0.0","0","0.0","false","10741"
"0.0","0","0.0","0","FZR1","false","false","true","no","51343","0","0.0","0","0.0","false","51343"
"0.0","1","0.0","0","CTNNB1","false","false","true","yes","1499","2","0.18181818181818182","2","0.1","false","1499"
